year,russian_milex_combined
1945,119.82095
1946,112.86582
1947,130.42938
1948,137.09706
1949,147.33673
1950,161.60905
1951,194.37613
1952,207.52286
1953,240.08115
1954,261.98184
1955,276.79953
1956,246.94717
1957,246.85608
1958,262.76685
1959,297.69214
1960,313.54468
1961,366.69147
1962,415.54208
1963,385.68719
1964,380.7106
1965,366.69592
1966,372.01035
1967,390.94501
1968,451.86273
1969,465.629
1970,499.62527
1971,512.75427
1972,534.05292
1973,545.25281
1974,555.18585
1975,597.42926
1976,609.01166
1977,617.40833
1978,627.76752
1979,622.57935
1980,612.5304
1981,610.50214
1982,616.70837
1983,630.28864
1984,638.03894
1985,641.76971
1986,658.92676
1987,669.76605
1988,674.78369
1989,241.87274
1990,247.43742
1991,246.49783
1992,84.513702
1993,50.603706
1994,163.83461
1995,135.11006
1996,118.4156
1997,100.12989
1998,87.975258
1999,85.611504
2000,75.827896
2001,90.296425
2002,70.907372
2003,88.979218
2004,81.752678
2005,24.130957
2006,30.612383
2007,39.022728
2008,47.216324
2009,44.820427
2010,48.301498
2011,57.596123
2012,64.271294
2013,63.799999
2014,68.377998
2015,73.694
2016,79.007004
2017,63.652
2018,61.388
2019,64.143997
